run_name,run_dir,dataset,patch,crit_mode,form,max_invest,alpha_obj,lam,n_scenarios,mean_shed,median_shed,p90_shed,p95_shed,p99_shed,max_shed,VaR_0.95,CVaR_0.95,inv_cost,expected_shed,cvar,n_gen_inv,n_load_inv,n_trans_inv,n_dg_inv,DGcap,timestamp
files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-cvar_only__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-10,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-cvar_only__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-10,files,patch,all,cvar_only,10,0.95,100.0,500,3833.283878806973,3798.2701818181763,4660.99699999999,4854.324599999974,5075.574519999995,5332.69099999999,4854.324599999974,4999.371372044959,8.8,3833.283878806972,4999.37137204496,2,1,0,0,50.0,2026-03-04T14:40:28
files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-cvar_only__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-15,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-cvar_only__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-15,files,patch,all,cvar_only,15,0.95,100.0,500,3849.79637834833,3827.345818181808,4581.582999999997,4722.996999999937,4925.531198113122,5332.69099999999,4722.996999999937,4875.717372044957,14.8,3849.796378348324,4875.717372044957,1,2,0,0,50.0,2026-03-04T14:44:49
files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-cvar_only__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-20,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-cvar_only__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-20,files,patch,all,cvar_only,20,0.95,100.0,500,3772.116913876926,3762.705664576797,4476.040250638636,4716.753446744885,4912.690619999999,5332.69099999999,4716.753446744885,4820.981372044963,18.8,3772.116913876925,4820.981372044963,5,2,0,0,50.0,2026-03-04T14:49:13
files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-cvar_only__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-5,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-cvar_only__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-5,files,patch,all,cvar_only,5,0.95,100.0,500,3931.3707532932876,3922.833006993006,4795.515400000001,4965.493999999991,5286.054520000001,5548.062999999991,4965.493999999991,5147.712566708302,3.5,3931.370753293288,5162.290052044968,2,0,0,0,50.0,2026-03-04T14:36:43
files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-risk_neutral__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-10,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-risk_neutral__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-10,files,patch,all,risk_neutral,10,0.95,100.0,500,3832.2566154226943,3798.2701818181545,4660.996999999977,4854.324599999973,5075.574519999995,5332.690999999991,4854.324599999973,4999.371372044932,8.8,3832.256615422693,4999.371372044934,2,1,0,0,50.0,2026-03-04T14:38:25
files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-risk_neutral__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-15,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-risk_neutral__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-15,files,patch,all,risk_neutral,15,0.95,100.0,500,3754.2707414205847,3784.1686867673216,4667.0907999999745,4903.973899999975,5094.571479999977,5332.690999999989,4903.973899999975,5011.1744120449275,14.8,3754.2707414205775,5011.174412044928,1,2,0,0,50.0,2026-03-04T14:42:18
files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-risk_neutral__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-20,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-risk_neutral__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-20,files,patch,all,risk_neutral,20,0.95,100.0,500,3679.196190432839,3711.7117303652904,4563.357599999907,4790.411949999985,4966.592929999987,5332.690999999989,4790.411949999985,4961.650572044932,16.8,3679.196190432836,4961.650572044933,3,2,0,0,50.0,2026-03-04T14:46:35
files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-risk_neutral__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-5,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-20__seed-63__crit-all__form-risk_neutral__alpha-0.95__DGcap-50.0lam-100.0__gap-0.01__maxinv-5,files,patch,all,risk_neutral,5,0.95,100.0,500,3921.517864865605,3899.558083915939,4795.515400000001,4965.493999999991,5286.054520000001,5548.062999999991,4965.493999999991,5147.712566708308,4.5,3921.517864865607,5162.290052044973,3,0,0,0,50.0,2026-03-04T14:34:50
